Timestamp,Multimeter Temp (C)
2025-02-11 15:37:23,21.6
2025-02-11 15:37:23,21.6
2025-02-11 15:37:24,21.6
2025-02-11 15:37:24,21.6
2025-02-11 15:37:25,21.6
2025-02-11 15:37:25,21.6
2025-02-11 15:37:26,21.5
2025-02-11 15:37:26,21.6
2025-02-11 15:37:27,21.6
2025-02-11 15:37:27,21.5
2025-02-11 15:37:28,21.5
2025-02-11 15:37:28,22.8
2025-02-11 15:37:29,27.4
2025-02-11 15:37:29,28.6
2025-02-11 15:37:30,29.4
2025-02-11 15:37:30,30.2
2025-02-11 15:37:31,30.3
2025-02-11 15:37:31,30.2
2025-02-11 15:37:32,29.8
2025-02-11 15:37:32,29.6
2025-02-11 15:37:33,29.4
2025-02-11 15:37:33,29.2
2025-02-11 15:37:34,28.6
2025-02-11 15:37:34,28.5
2025-02-11 15:37:35,28.3
2025-02-11 15:37:35,27.8
2025-02-11 15:37:36,27.5
2025-02-11 15:37:36,27.2
2025-02-11 15:39:42,28.0
2025-02-11 15:39:42,27.7
2025-02-11 15:39:43,27.5
2025-02-11 15:39:43,27.3
2025-02-11 15:39:44,27.0
2025-02-11 15:39:44,26.8
2025-02-11 15:39:45,26.9
2025-02-11 15:39:45,26.4
2025-02-11 15:39:46,26.3
2025-02-11 15:39:46,26.1
2025-02-11 15:39:47,26.0
2025-02-11 15:39:47,25.9
2025-02-11 15:39:48,25.8
2025-02-11 15:39:48,25.8
2025-02-11 15:39:49,25.5
2025-02-11 15:39:49,25.4
2025-02-11 15:39:50,25.3
2025-02-11 15:39:50,25.2
2025-02-11 15:39:51,25.1
2025-02-11 15:39:51,25.0
2025-02-11 15:39:52,24.9
2025-02-11 15:39:52,24.8
2025-02-11 15:39:53,24.7
2025-02-11 15:39:53,24.6
2025-02-11 15:39:54,24.5
2025-02-11 15:39:54,24.4
2025-02-11 15:39:55,24.3
2025-02-11 15:39:55,24.3
2025-02-11 15:39:56,24.2
2025-02-11 15:39:56,24.0
2025-02-11 15:39:57,24.0
2025-02-11 15:39:57,23.9
2025-02-11 15:39:58,23.8
2025-02-11 15:39:58,23.7
2025-02-11 15:39:59,23.7
2025-02-11 15:39:59,23.6
2025-02-11 15:40:00,23.5
2025-02-11 15:40:00,23.4
2025-02-11 15:40:01,23.4
2025-02-11 15:40:01,23.4
2025-02-11 15:40:02,24.4
2025-02-11 15:40:03,27.9
2025-02-11 15:40:03,29.6
2025-02-11 15:40:04,30.9
2025-02-11 15:40:04,31.2
2025-02-11 15:40:05,31.4
2025-02-11 15:40:05,31.6
2025-02-11 15:40:06,31.8
2025-02-11 15:40:06,31.9
2025-02-11 15:40:07,31.9
2025-02-11 15:40:07,31.9
2025-02-11 15:40:08,31.8
2025-02-11 15:40:08,31.7
2025-02-11 15:40:09,31.0
2025-02-11 15:40:09,30.7
2025-02-11 15:40:10,30.4
2025-02-11 15:40:10,29.8
2025-02-11 15:40:11,29.5
2025-02-11 15:40:11,29.3
2025-02-11 15:40:12,28.7
2025-02-11 15:40:12,28.5
2025-02-11 15:40:13,28.2
2025-02-11 15:40:13,28.0
2025-02-11 15:40:14,27.9
2025-02-11 15:40:14,28.0
2025-02-11 15:40:15,28.1
2025-02-11 15:40:16,28.4
2025-02-11 15:40:16,28.5
2025-02-11 15:40:17,28.5
2025-02-11 15:40:17,28.4
2025-02-11 15:40:18,28.4
2025-02-11 15:40:18,28.5
2025-02-11 15:40:19,28.6
2025-02-11 15:40:19,28.7
2025-02-11 15:40:20,29.4
2025-02-11 15:40:20,29.6
2025-02-11 15:40:21,30.0
2025-02-11 15:40:21,31.0
2025-02-11 15:40:22,31.2
2025-02-11 15:40:22,31.4
2025-02-11 15:40:23,31.7
2025-02-11 15:40:23,31.8
2025-02-11 15:40:24,31.8
2025-02-11 15:40:24,32.0
2025-02-11 15:40:25,31.8
2025-02-11 15:40:25,31.6
2025-02-11 15:40:26,31.6
2025-02-11 15:40:26,31.4
2025-02-11 15:40:27,31.3
2025-02-11 15:40:27,31.1
2025-02-11 15:40:28,30.7
2025-02-11 15:40:28,30.0
2025-02-11 15:40:29,29.6
2025-02-11 15:40:29,29.4
2025-02-11 15:40:30,28.8
2025-02-11 15:40:30,28.5
2025-02-11 15:40:31,28.3
2025-02-11 15:40:31,28.1
2025-02-11 15:40:32,27.8
2025-02-11 15:40:33,27.4
2025-02-11 15:40:33,27.4
2025-02-11 15:40:34,26.8
2025-02-11 15:40:34,26.6
2025-02-11 15:40:35,26.4
2025-02-11 15:40:35,26.2
2025-02-11 15:40:36,25.9
2025-02-11 15:40:36,25.6
2025-02-11 15:40:37,25.6
2025-02-11 15:40:37,25.6
2025-02-11 15:40:38,25.7
2025-02-11 15:40:38,25.7
2025-02-11 15:40:39,25.6
2025-02-11 15:40:39,26.8
2025-02-11 15:40:40,27.7
2025-02-11 15:40:40,28.2
2025-02-11 15:40:41,28.0
2025-02-11 15:40:41,27.8
2025-02-11 15:40:42,27.5
2025-02-11 15:40:42,27.3
2025-02-11 15:40:43,26.9
2025-02-11 15:40:43,26.7
